name,usage,crop,problem,problem_notes,faostat_name,faostat_definition
NPK 8 16 24 + 1MgO + 1B,,Tobacco,,,"Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
NPK 8 18 9,,,,,,
NPK 8 18 15 + 6S +0.1B,,,,,,
NPK 8 21 7,,Tobacco,,,"Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
NPK 8 32 4 + TE,,,,,,
NPK 9 18 36,,,,,,
NPK 9 23 4 ,,,,,,
NPK 9 23 4 + 1S + 2MgO + 0.1Zn,,,,,,
NPK 9 45 15,,,,,,
NPK 9.4 25 5.1 ,,,,,,
NPK 10 50 20 + 2MgO,,,,,,
NP 10 5 0,,,,,,
NPK 10 5 14,,,,,,
NPK 10 5 20 + 6CaO + 11S + MgO + 0.7Zn,,,,,,
NPK 10 5 20 + 8CaO + 5S + 2.5MgO + 1Zn,,,,,,
NPK 10 5 30 + TE,,,,,,
NPK 10 10 7.5,,,,,,
NPK 10 10 10 + TE,,,,,,
NPK 10 10 20,,Tomato,,,Tomatoes,Lycopersicon esculentum.
NPK 10 10 20,,Eggplant,,,Eggplants (aubergines),Solanum melongena. Also called aubergines.
NPK 10 10 20,,okra,1,Hibiscus esculentus. Also called gombo.,Okra,Abelmoschus esculentus
NPK 10 10 20,,Pumkins,1,,"Pumpkins, squash and gourds",Cucurbita spp. Includes marrows.
NPK 10 10 20,,Impwa,1,,,
NPK 10 10 30,,,,,,
NPK 10 10 35 + 3MgO + TE,,,,,,
NPK 10 15 15 ,,Onion,1,"Onions dry -Onions, shallots, green?",,
NPK 10 15 15 ,,Carrot,1,,Carrots and turnips,Daucus carota. Trade data may include turnips (Brassica rapa var. rapifera).
NPK 10 15 15 ,,Potato,,,Potatoes,"Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
NPK 10 15 15 ,,Tubers,1,,"Roots and tubers, nes","Including inter alia: arracacha (Arracacoa xanthorrhiza); arrowroot (Maranta arundinacea); chufa (Cyperus esculentus); sago palm (Metroxylon spp.); oca and ullucu (Oxalis tuberosa and Ullucus tuberosus); yam bean, jicama (Pachyrxhizus erosus, P. angulatus); mashua (Tropaeolum tuberosum); Jerusalem artichoke, topinambur (Helianthus tuberosus). Other tubers, roots or rhizomes, fresh, that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report roots and tubers under this commodity heading that are classified individually by FAO."
NPK 10 18 20 + 6S + 0.8MgO,,,,,,
NPK 10 18 24 + 7S + 0.1B,,,,,,
NPS 10 20 0 + 5S  + 1.5MgO + 20 CaO,,food crops,1,,,
NPK 10 20 16 + 6S + 2B,,,,,,
NPK 10 20 10 + 6S,,Maize,,,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
NPK 10 20 10 + 6S,,Cotton,1,"seed cotton, cotton lint??",,
NPK 10 20 40 + TE,,,,,,
NPK 10 26 10 + CaO + Mg + B + Zn,,Maize,,,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
NPK 10 26 10 + CaO + Mg + B + Zn,,Sugarcane,,,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
NPK 10 26 10 + CaO + Mg + B + Zn,,Wheat,,,Wheat,"Triticum spp.: common (T. aestivum) durum (T. durum) spelt (T. spelta). Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food."
NP 10 30 0,,,,,,
NPK 10 40 20 + TE,,,,,,
NPK 10 50 10 + TE,,,,,,
NPK 10 52 10 + 1MgO + TE,,,,,,
NPK 10 54 10 + TE,,,,,,
NPK 11 11 17 + 2MGO + TE,,,,,,
NPK 12 10 8 + TE,,,,,,
NK 12 0 32,,Tomato,,,Tomatoes,Lycopersicon esculentum.
NPK 12 3 22,,,,,,
NPK 12 5 30,,Horticulture,1,,,
NPK 12 6 28 + 7MgO + TE,,,,,,
NPK 12 7 24 + 2Mg0 + 7CaO + TE,,,,,,
NPK 12 9 8 + TE,,,,,,
NPK 12 10 10,,,,,,
NPK 12 10 18 ,,,,,,
NPK 12 12 12,,Cabbage,1,,Cabbages and other brassicas,"Chinese, mustard cabbage, pak-choi (Brassica chinensis); white, red, savoy cabbage, Brussels sprouts, collards, kale and kohlrabi (Brassica oleracea all var. except botrytis)."
NPK 12 12 12,,Grape,,,Grapes,Vitis vinifera. Includes both table and wine grapes.
NPK 12 12 12,,Spinach,,,Spinach,Spinacia oleracea. Trade figures may include New Zealand spinach (Tetragonia espansa) and orache (garden) spinach (Atriplex hortensis).
NPK 12 12 12,,Broccoli,1,,Cauliflowers and broccoli,"Brassica oleracea var. botrytis, subvariety cauliflora and cymosa. Includes headed broccoli."
NPK 12 12 12,,Leaf vegetables,1,,,
NPK 12 12 17 + 2MgO,,Oil-Palm,1,,"Oil, palm fruit","Elaeis guineensis. The oil palm produces bunches containing a large number of fruits with the fleshy mesocarp enclosing a kernel that is covered by a very hard shell. FAO considers palm oil (coming from the pulp) and palm kernels to be primary products. The oil extraction rate from a bunch varies from 17 to 27% for palm oil, and from 4 to 10% for palm kernels."
NPK 12 12 17 + 2MgO,,Cassava,,,Cassava,"Manioc, mandioca, yuca (Manihot esculenta, syn. M. utilissima); yuca dulce (M. palmata, syn. M. dulcis). A semi-permanent crop grown in tropical and subtropical regions. Sometimes bitter and sweet cassavas are referred to as separate species, the former being M. esculenta and the latter M. palmata, but this is incorrect since the toxicity varies according to location. Cassava is the staple food in many tropical countries. It is not traded internationally in its fresh state because tubers deteriorate very rapidly."
NPK 12 12 36 + TE,,,,,,
NPK 12 22 12,,Sugarcane,,,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
NPK 12 22 22 + 0.6 S,,,,,,
NPK 12 24 12,,,,,,
NPK 12 30 7 + S+ MgO + CaO + TE,,,,,,
NPK 12 32 6 + 0.1S + 2MgO + 4CaO + 0.4Zn,,,,,,
NP 12 37 0 + 3S + 7CaO,,,,,,
NP 12 46 0 + 7S,,,,,,
NPK 12 52 5 + TE ,,,,,,
NPK 12.5 4 8,,,,,,
NK 13 0 46,,,,,,
NPK 13 7 32 + 3MgO,,,,,,
NPK 13 11 11 + TE,,,,,,
NPK 13 13 13 + 3MgO,,,,,,
NK 14 0 46,,,,,,
NPK 14 7 10 + 1MgO,,,,,,
NPK 14 13 9 +14S,,,,,,
NPK 14 14 14 + 1MgO,,,,,,
NPK 14 14 20 + 1.5MgO + TE,,Tobacco,,,"Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
NPK 14 26 9 + 3S + 0.5Zn + 0.2B,,,,,,
NPK 14 28 18 + TE,,,,,,
NPK  15 9 20 + 9.5 S,,Pineapple,1,A. sativ. Trade figures may include dried pineapples.,Pineapples,Ananas comosus
NPK  15 9 20 + 9.5 S,,Mango,1,,"Mangoes, mangosteens, guavas","Mangifera indica. Trade figures may include dried mangoes, guavas and mangosteens, including both fresh and dried."
NPK  15 9 20 + 9.5 S,,Onions,1,"Onions dry -Onions, shallots, green?",,
NPK  15 9 20 + 9.5 S,,Tomatoes,,,Tomatoes,Lycopersicon esculentum.
NPK  15 9 20 + 9.5 S,,Cassava,,,Cassava,"Manioc, mandioca, yuca (Manihot esculenta, syn. M. utilissima); yuca dulce (M. palmata, syn. M. dulcis). A semi-permanent crop grown in tropical and subtropical regions. Sometimes bitter and sweet cassavas are referred to as separate species, the former being M. esculenta and the latter M. palmata, but this is incorrect since the toxicity varies according to location. Cassava is the staple food in many tropical countries. It is not traded internationally in its fresh state because tubers deteriorate very rapidly."
NPK  15 9 20 + 9.5 S,,Yam,,,Yams,"Dioscorea spp.. The principal edible yams are widely grown throughout the tropics. A starchy staple foodstuff, normally eaten as a vegetable, boiled, baked or fried. In West Africa they are consumed mainly as ""fufu"", a stiff glutinous dough. Trade data cover both fresh and dried yams."
NPK  15 9 20 + 9.5 S,,Orange,,,Oranges,"Common, sweet orange (Citrus sinensis); bitter orange (C. aurantium). Bitter oranges are used primarily in the preparation of marmalade."
NPK  15 9 20 + 9.5 S,,Pepper,,,Pepper (piper spp.),"Black, white pepper (Piper nigrum); long pepper (P. longum). Perennial climbing vines. Includes whole, crushed or ground berries. Black pepper is produced from partially ripe berries, while white pepper is from fully ripe berries which have had the outer hull removed."
NPK  15 9 20 + 9.5 S,,Okro,1,,,
NPK  15 9 20 + 9.5 S,,Cucumber,1,,Cucumbers and gherkins,Cucumis sativus.
NK 15 0 26,,,,,,
NPK 15 6 12 + 2MgO + TE,,,,,,
NPK 15 7 25 ,,,,,,
NPK 15 9 9 + 3MgO,,,,,,
NPK 15 9 20 + TE,,Pineapple,1,A. sativ. Trade figures may include dried pineapples.,Pineapples,Ananas comosus
NPK 15 9 20 + TE,,Mango,1,,"Mangoes, mangosteens, guavas","Mangifera indica. Trade figures may include dried mangoes, guavas and mangosteens, including both fresh and dried."
NPK 15 10 18,,Beans,1,,,
NPK 15 10 13 + 4MgO + TE,,,,,,
NPK 15 10 14 + 12CaO + TE,,,,,,
NPK 15 10 30 + 5S + TE,,,,,,
NPK 15 15 6 + 4MgO,,,,,,
NPK 15 15 15 ,,Cereals,1,,"Cereals, nes","Including inter alia: canagua or coaihua (Chenopodium pallidicaule); quihuicha or Inca wheat (Amaranthus caudatus); adlay or Job's tears (Coix lacryma-jobi); wild rice (Zizania aquatica). Other cereal crops that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report cereals under this commodity heading that are classified individually by FAO."
NPK 15 22 10 + 4MgO,,,,,,
NPK 15 24 10 + 3MgO,,,,,,
NPK 15 25 8,,,,,,
NPK 15 28 6,,,,,,
NPK 15 28 10 + 6S + 0.3B,,,,,,
NPK 15 30 15 + TE,,,,,,
NPK 16 16 12,,,,,,
NK 16 0 24,,Vegetables,1,,"Vegetables, fresh nes","Including inter alia: bamboo shoots (Bambusa spp.); beets, chards (Beta vulgaris); capers (Capparis spinosa); cardoons (Cynara cardunculus); celery (Apium graveolens); chervil (Anthriscus cerefolium); cress (Lepidium sativum); fennel (Foeniculum vulgare); horseradish (Cochlearia armoracia); marjoram, sweet (Majorana hortensis); oyster plant (Tragopogon porrifolius); parsley (Petroselinum crispum); parsnips (Pastinaca sativa); radish (Raphanus sativus); rhubarb (Rheum spp.); rutabagas, swedes (Brassica napus); savory (Satureja hortensis); scorzonera (Scorzonera hispanica); sorrel (Rumex acetosa); soybean sprouts tarragon (Artemisia dracunculus); watercress (Nasturtium officinale). Other vegetables that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report vegetables under this heading that are classified individually by FAO."
NPK 16 6 12 + 2MgO + TE,,,,,,
NPK 16 6 17 + TE,,,,,,
NPK 16 6 21 + 6S + Zn + B,,Coffee,1,,"Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms."
NPK 16 7 15 + 2S,,,,,,
NPK 16 8 16 + TE,,,,,,
NPK 16 8.5 23 + 5S,,,,,,
NPK 16 16 16,,Coffee,1,,"Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms."
