FERTILZER PRODUCT CATALOGUE,,,,,,,,,,nutrients,,,,,,,,,,,,,,,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS Code,AFO 8 code,AFO 10 code,CPC code,Class,Fertilizer Name (industry),FAO product description,Description,Brand Name,Usage,Type,N,P,K,S,MgO,CaO,Zn,B,Mn,Cu,Fe,Mo,Cl,ALG,BEN,BUR,BDI,CMR,COD,EGY,ETH,GHA,GBS,GUI,CIV,KEN,LBR,MAD,MAW,MLI,MRI,MOZ,NIG,NGR,RSA,RWA,SEN,SEY,SLE,SUD,TAN,TOG,UGA,ZAM,ZIM,Main use [crops],Recommened Application Rates,Source
31052000,,,34641,Complex fertilizers,NPK 4 18 15,NPK complex >10kg,,COMOUND - V,,,4,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"Tobacco, Horticulture",,
31052000,,,34641,Complex fertilizers,NPK 4 25 15,NPK complex >10kg,,,,,4,25,15,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 5 7.5 5 + 5S+5CaO,NPK complex >10kg,,,,,5,"7,5",5,5,0,5,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 5 10 27 ,NPK complex >10kg,,,,,5,10,27,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 5 27 20 6S + 6CaO,NPK complex >10kg,,,,,5,27,20,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 5 7.5 5 + 5S + 5MgO + TE,NPK complex >10kg,,YARA VITA TRACEL BZ,,S,5,"7,5",5,5,5,0,5,5,"0,1","0,1","0,1","0,1",,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,www.yaraghana.com/Products/Our-foliars/YaraVita%E2%84%A2-TRACEL%E2%84%A2-BZ.aspx
31052000,,,34641,Complex fertilizers,NPK 5.9  18 30 ,NPK complex >10kg,,POTASPRAY,,,"5,9","17,9","29,9",,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,"www.google.com.gh/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CCAQFjAA&url=http%3A%2F%2Fwww.hygrotech.co.za%2Fimages%2FFOLIAR%2520FERTILISERS.pdf&ei=4TGXU7idO4fcOtSFgeAB&usg=AFQjCNFIWUuZ0xdZa7weRubzopd4hZpj7A&sig2=3ZcZ1uxIVObusl5mcGYeSw&bvm=bv.68445247,d.ZWU"
31057000,,,,Complex fertilizers,NK 6 0 3.5,NK compounds other than Potassium nitrate,,ELFER BIOFER,,S,6,0,"3,5",0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,
31057000,,,,Complex fertilizers,NK 6 0 20 + TE,NK compounds other than Potassium nitrate,,,,,6,0,2,,,,,,,,,,TE,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 6 13 3 + 3.3S + 2MgO + 2.9Mn + 2Zn,NPK complex >10kg,,OMNIBOOST - K,,L,6,13,3,"3,3",2,0,2,0,"2,9",,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,www.australianhumates.com/products/physiological-management/omniboost-k/
31052000,,,34641,Complex fertilizers,NPK 6 20 18,NPK complex >10kg,,,,,6,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 6 24 20,NPK complex >10kg,,,,,6,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Tobacco,,
31052000,,,34641,Complex fertilizers,NPK 6 24 21,NPK complex >10kg,,,,,6,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31055100,,,34644,Complex fertilizers,NP 7 20 0 + 2S + 2MgO,Other nitrogen & phosphates compounds,,,,,7,20,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 7 6 44 + 2Mg0,NPK complex >10kg,,,,,7,6,44,0,2,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 7 12 30 + 2MgO + TE,NPK complex >10kg,,,,,7,12,30,0,2,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 7 14 7,NPK complex >10kg,,ZIMBABWE D COMPOUND,,,7,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Maize,,
31052000,,,34641,Complex fertilizers,NPK 7 20 13 + (Lime),NPK complex >10kg,,SOYA MIX A,,,7,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Soya - beans,,
31052000,,,34641,Complex fertilizers,NPK 8 16 24 + 1MgO + 1B,NPK complex >10kg,,,,,8,16,24,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tobacco,,
31052000,,,34641,Complex fertilizers,NPK 8 18 9,NPK complex >10kg,,,,,8,18,9,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 8 18 15 + 6S +0.1B,NPK complex >10kg,,,,,8,18,15,6,0,0,0,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 8 21 7,NPK complex >10kg,,COMPOUND - S ,,,8,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Tobacco,,
31052000,31.05.20.17,31.05.20.17.01,34641,Complex fertilizers,NPK 8 32 4 + TE,NPK complex >10kg,,,,,8,32,4,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,
31052000,31.05.20.16,31.05.20.16,34641,Complex fertilizers,NPK 9 18 36,NPK complex >10kg,,,,,9,18,36,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,31.05.20.17,31.05.20.17.02,34641,Complex fertilizers,NPK 9 23 4 ,NPK complex >10kg,,,,,9,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 9 23 4 + 1S + 2MgO + 0.1Zn,NPK complex >10kg,,,,,9,23,4,1,2,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 9 45 15,NPK complex >10kg,,,,,9,45,15,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 9.4 25 5.1 ,NPK complex >10kg,,FOSFASPRAY,,S,"9,4","25,3","5,1",,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,"www.google.com.gh/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CCAQFjAA&url=http%3A%2F%2Fwww.hygrotech.co.za%2Fimages%2FFOLIAR%2520FERTILISERS.pdf&ei=4TGXU7idO4fcOtSFgeAB&usg=AFQjCNFIWUuZ0xdZa7weRubzopd4hZpj7A&sig2=3ZcZ1uxIVObusl5mcGYeSw&bvm=bv.68445247,d.ZWU"
31052000,,,34641,Complex fertilizers,NPK 10 50 20 + 2MgO,NPK complex >10kg,,FLEXIL P FERTILIZER,,S,10,50,20,0,2,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,"www.google.com.gh/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CCUQFjAB&url=http%3A%2F%2Fwww.puccioniusa.com%2Ftechsheets%2Ftech_flexil_p.pdf&ei=WSWXU0eJ_znL1oCQBQ&usg=AFQjCNHfBsbsq9u7iXQ1teYc2QxO-ckIUQ&sig2=xMdhBCZOHpse7YHXuMEQtg&bvm=bv.68445247,d.ZWU"
31055100,,,34644,Complex fertilizers,NP 10 5 0,Other nitrogen & phosphates compounds,,,,,10,5,0,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 5 14,NPK complex >10kg,,,,,10,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 5 20 + 6CaO + 11S + MgO + 0.7Zn,NPK complex >10kg,,,,,10,5,20,11,,6,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 5 20 + 8CaO + 5S + 2.5MgO + 1Zn,NPK complex >10kg,,,,,10,5,20,5,"2,5",8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
