adm1_code,adm1_label,valueX,valueY
73806.00000,Musibanyuasin,1821.2941176470588,841.1764705882352
73668.00000,Dairi,631.3333333333334,399.3333333333333
18035.00000,Brebes,1955.5,621.0
73837.00000,Rotendao,85.0,27.5
18056.00000,Rembang,1001.0,313.0
73624.00000,Aceh Barat,533.25,897.0
18236.00000,Simalungun,1398.2,1309.0
73779.00000,Luwu,4619.6,1956.0
18183.00000,Sidenrengrappang,4682.666666666667,1680.3333333333333
73631.00000,Aceh Timur,1639.0,1257.5714285714287
73852.00000,Solok Selatan,2161.3333333333335,1216.5
18114.00000,Kota Baru,4692.083333333333,849.25
73816.00000,Ogan Komering Ulu Selatan,2299.875,1158.875
73868.00000,Tebo,2084.0,1354.2857142857142
73854.00000,Sorong Selatan,7228.090909090909,1992.3636363636363
18055.00000,Purworejo,739.0,284.0
73800.00000,Minahasa,2439.5,235.0
18147.00000,Lombok Timur,282.5,124.0
73825.00000,Pelalawan,1245.5294117647059,525.0
17973.00000,Jembrana,1546.0,494.0
18169.00000,Bone,4721.4,1365.4
17970.00000,Bangli,209.0,87.0
18057.00000,Semarang,1121.0,634.0
18186.00000,Takalar,2426.0,271.0
73656.00000,Bima,323.25,130.25
73625.00000,Aceh Jaya,562.6666666666666,833.6666666666666
73874.00000,Tolikara,2115.2,3077.2
18031.00000,Banyumas,2138.5,623.5
73669.00000,Deli Serdang,1955.0,1891.0
18021.00000,Majalengka,2104.0,582.0
18022.00000,Pandeglang,3875.5,1080.5
73672.00000,Fak-fak,2817.846153846154,372.84615384615387
18051.00000,Pati,863.0,380.0
73702.00000,Kolaka Utara,6142.8,1215.8
18100.00000,Tulungagung,1074.0,32.0
18067.00000,Bojonegoro,1826.75,323.0
73860.00000,Tanahbumbu,3860.5714285714284,1042.4285714285713
73693.00000,Keerom,1873.375,1625.75
73844.00000,Seluma,2104.0,765.75
73751.00000,Kota Sorong,5162.0,1266.0
73642.00000,Bangka,2184.6,764.0
73838.00000,Samosir,1580.5,886.0
73646.00000,Barito Utara,2158.45,860.15
18168.00000,Barru,4223.5,659.5
18089.00000,Pacitan,1449.0,11.0
18084.00000,Magetan,1902.0,368.0
18024.00000,Serang,3722.0,1403.0
73781.00000,Maluku Tengah,6218.9,637.2
73862.00000,Tanjungjabung Barat,1904.5555555555557,1141.3333333333333
73861.00000,Tanggamus,2220.0,698.0
18144.00000,Dompu,633.6666666666666,248.33333333333334
73682.00000,Hulusungai Utara,2368.0,657.0
18081.00000,Lamongan,1009.0,29.0
18208.00000,Limapuluhkoto,1604.6,1272.6
18204.00000,Kota Padang,1064.0,206.0
17984.00000,Kulonprogo,741.0,78.0
73780.00000,Malang,2197.8333333333335,21.5
73857.00000,Sumbawa Barat,211.5,52.0
