"ADM2_CODE","ADM2_NAME","EVI Index","Precipitation Index"
23587,"Nakhal",660.6245728,28.6149292
23588,"Saham",752.1827393,34.67960739
23589,"Shinas",598.5822754,38.99241638
23590,"Sohar",688.7285767,38.07452393
23591,"Al Buraimi",734.8535156,35.08374023
23592,"Dhank",816.5511475,31.92584419
23593,"Ibri",704.5106201,25.86361504
23594,"Mahdha",617.0380249,40.49337387
23595,"Yanqul",556.1025391,41.86306763
23596,"Al Wusta (1)",864.982605,10.50109863
23597,"Al Halaniyat Isl.",494.59375,3.268656731
23598,"Marbat",1003.699402,6.482500076
23599,"Muqshin",941.0914917,7.315839767
23600,"Salalah",1241.824097,7.208832741
23601,"Sudh",1047.983765,5.366874695
23602,"Taqah",1212.715942,5.329942703
23603,"Thumrait",1013.038269,7.496066093
23604,"Al Khasab",563.6065674,45.75133133
23605,"Bukha",604.1659546,48.8747406
23606,"Diba",629.3934937,46.20624924
23607,"Madha",498.8623962,44.33840179
23608,"A Seeb",876.3084717,20.92739296
23609,"Bausher",791.8005371,25.96541405
23610,"Muscat",676.538208,26.36501884
23611,"Muttrah",868.6060791,24.34042549
23612,"Quriyat",816.4040527,33.89251709
23613,"Administrative unit not available",821.3202515,8.170719147
18587,"Administrative unit not available",821.3202515,8.170719147
18588,"Administrative unit not available",821.3202515,8.170719147
18589,"Administrative unit not available",821.3202515,8.170719147
18590,"Administrative unit not available",821.3202515,8.170719147
18591,"Administrative unit not available",821.3202515,8.170719147
18796,"Beirut",670.043457,146.3461609
18791,"Baalbek",1038.135742,103.1776733
18793,"Hermel",1316.304688,117.8796082
18794,"Rachiaya",1178.927612,160.2184448
18792,"West Bekaa",1356.685425,162.5352173
18795,"Zahle",1205.339966,137.0405426
18807,"Aley",1765.981567,210.0675354
18808,"Baabda",1765.932861,197.2624054
18809,"Chouf",2053.278564,212.6047821
18812,"El Metn",1616.74353,200.2126617
18810,"Jubail",1882.847412,205.352005
18811,"Kasrouane",1476.720703,206.3933411
18814,"Bint Jubail",1765.595581,164.1403961
18813,"Hasbaiya",1778.453857,173.1730194
18815,"Marjaayoun",1836.740112,161.2659912
18816,"Nabatiye",2083.20166,175.7024078
18797,"Akkar",2112.409912,138.9380798
18798,"Batroun",1892.161987,194.6625671
18799,"Bcharre",1182.166626,182.6039276
18800,"Koura",2495.948975,168.4499969
18801,"Minieh-Danieh",1443.813965,165.539566
18802,"Tripoli",1742.900024,140.472229
18803,"Zgharta",2187.495117,168.9667969
18804,"Jezzine",2146.562744,219.5249939
18805,"Saida",2325.044189,121.7351151
18806,"Sour",2355.795654,118.3955765
24963,"Administrative unit not available",821.3202515,8.170719147
24964,"Administrative unit not available",821.3202515,8.170719147
24965,"Administrative unit not available",821.3202515,8.170719147
24966,"Administrative unit not available",821.3202515,8.170719147
24967,"Administrative unit not available",821.3202515,8.170719147
24968,"Administrative unit not available",821.3202515,8.170719147
24969,"Administrative unit not available",821.3202515,8.170719147
24970,"Administrative unit not available",821.3202515,8.170719147
24971,"Administrative unit not available",821.3202515,8.170719147
25305,"Administrative unit not available",821.3202515,8.170719147
25306,"Administrative unit not available",821.3202515,8.170719147
25307,"Administrative unit not available",821.3202515,8.170719147
25308,"Administrative unit not available",821.3202515,8.170719147
25309,"Administrative unit not available",821.3202515,8.170719147
25310,"Administrative unit not available",821.3202515,8.170719147
25311,"Administrative unit not available",821.3202515,8.170719147
25312,"Administrative unit not available",821.3202515,8.170719147
25313,"Administrative unit not available",821.3202515,8.170719147
25314,"Administrative unit not available",821.3202515,8.170719147
25315,"Administrative unit not available",821.3202515,8.170719147
25316,"Administrative unit not available",821.3202515,8.170719147
25317,"Administrative unit not available",821.3202515,8.170719147
32679,"Administrative unit not available",821.3202515,8.170719147
32680,"Administrative unit not available",821.3202515,8.170719147
32681,"Administrative unit not available",821.3202515,8.170719147
32682,"Administrative unit not available",821.3202515,8.170719147
32683,"Administrative unit not available",821.3202515,8.170719147
32684,"Administrative unit not available",821.3202515,8.170719147
32685,"Administrative unit not available",821.3202515,8.170719147
32686,"Administrative unit not available",821.3202515,8.170719147
32687,"Administrative unit not available",821.3202515,8.170719147
32688,"Administrative unit not available",821.3202515,8.170719147
32689,"Administrative unit not available",821.3202515,8.170719147
