"ADM2_CODE","ADM2_NAME","POP_2010","POV_125"
23058,"Asari-to",79480,0.383972
23059,"Bonny",208627,0.579418
23061,"Degema",313536,0.597351
23063,"Emuoha",208266,0.398021
23064,"Etche",445554,0.465609
23065,"Gokana",108269,0.409974
23066,"Ikwerre",292185,0.39042
23067,"Khana",720893,0.475086
23069,"Obio/akp",831935,0.339921
23070,"Ogba/egbe",281008,0.374669
23071,"Okrika",213963,0.479394
23072,"Portharcourt",158803,0.345038
23075,"Tai/ekem",544060,0.419906
23078,"Binji",116753,0.557734
23079,"Bodinga",153832,0.530704
23081,"Dange-sh",142033,0.599776
23082,"Gada",284402,0.617859
23083,"Goronyo",132552,0.64432
23086,"Gwadabaw",333644,0.536972
23087,"Illela",219533,0.550162
23090,"Kware",260257,0.528979
23092,"Rabah",174007,0.62179
23093,"Sabonbir",214463,0.676139
23094,"Silame",71345,0.574164
23095,"Sokoto",444470,0.318035
23097,"Tambawal",356713,0.59081
23098,"Tangazar",256885,0.56992
23100,"Wamakko",293068,0.517447
23101,"Wurno",65672,0.570466
23102,"Yabo",254342,0.567008
23076,"Anka",460307,0.772759
23077,"Bakura",232132,0.636099
23080,"Bungudu",463558,0.745006
23084,"Gummi",589268,0.695761
23085,"Gusau",310251,0.790498
23088,"Isa",371839,0.685759
23089,"Kaura-na",451471,0.725498
23091,"Maradun",186370,0.680464
23096,"Talatar",213348,0.658604
23099,"Tsafe",207592,0.779854
23103,"Zurmi",302424,0.699117
